animal_id,animal_name,animal_type,primary_color,secondary_color,sex,dob,intake_date,intake_condition,intake_type,intake_subtype,reason_for_intake,outcome_date,crossing,jurisdiction,outcome_type,outcome_subtype,latitude,longitude,intake_is_dead,outcome_is_dead,was_outcome_alive,geopoint
A700840,*pippy,cat,black,white,Male,2023-06-01,2023-06-14,under age/weight,stray,otc,NA,2023-06-15,+4900 BLK GRISHAM AVE LONG BEACH 90805,Long Beach,rescue,littlepaws,33.8449089,-118.1940398,Alive on Intake,FALSE,1,"33.8449089, -118.1940398"
A707681,NA,cat,gray tabby,NA,Unknown,2023-03-27,2023-09-27,injured  moderate,stray,field,NA,2023-09-27,0 BLK E LOUISE,Long Beach,euthanasia,inj severe,33.8550845,-118.1969706,Alive on Intake,TRUE,0,"33.8550845, -118.1969706"
A593145,NA,cat,gray,NA,Female,2017-05-08,2017-07-08,feral,stray,field,NA,2017-07-24,"0 BLK E MARKET ST, LONG BEACH, CA 90805",Long Beach,rescue,catpaws,33.8542837,-118.1964921,Alive on Intake,FALSE,1,"33.8542837, -118.1964921"
A608487,*taylor,cat,gray,NA,Spayed,2017-05-27,2018-05-27,normal,owner surrender,otc,NA,2018-06-08,"0 BLK W HOME ST, LONG BEACH, CA 90805",Long Beach,adoption,pfe/pawshp,33.8479781,-118.1957802,Alive on Intake,FALSE,1,"33.8479781, -118.1957802"
A721309,*tona,cat,gray tabby,NA,Spayed,2024-03-20,2024-05-22,normal,owner surrender,otc,cost,2024-06-20,00 BLK E 68TH WAY LONG BEACH CA 90805,Long Beach,adoption,pfe/pawshp,33.8784962,-118.2039496,Alive on Intake,FALSE,1,"33.8784962, -118.2039496"
A597463,NA,cat,gray,NA,Unknown,2017-08-21,2017-09-21,under age/weight,stray,field,NA,2017-09-23,"00 BLK E 69TH WAY, LONG BEACH, CA 90805",Long Beach,rescue,littlelion,33.8801147,-118.20443,Alive on Intake,FALSE,1,"33.8801147, -118.20443"
A601232,NA,cat,black,white,Female,2013-12-20,2017-12-20,normal,stray,otc,NA,2017-12-27,"00 BLK ROSWELL AVE, LONG BEACH, CA 90803",Long Beach,transfer,spcala,33.7590991,-118.1447482,Alive on Intake,FALSE,1,"33.7590991, -118.1447482"
A647074,NA,cat,black,white,Unknown,2020-08-10,2020-08-12,under age/weight,stray,field,NA,2020-08-13,"00 BLK ROSWELL AVE, LONG BEACH, CA 90803",Long Beach,died,at vet,33.7590991,-118.1447482,Alive on Intake,TRUE,0,"33.7590991, -118.1447482"
A597275,NA,cat,white,cream,Unknown,2017-09-16,2017-09-17,under age/weight,stray,field,NA,2017-09-17,"00 BLK W PACIFIC COAST HWY, LONG BEACH, CA 90806",Long Beach,rescue,lbsnnres,33.7898298,-118.2081907,Alive on Intake,FALSE,1,"33.7898298, -118.2081907"
A706438,*cricket,cat,black,NA,Male,2023-08-04,2023-09-07,normal,stray,otc,NA,2023-10-08,"00 BLOCK E MARKET ST, LONG BEACH CA",Long Beach,adoption,NA,33.8542837,-118.1964921,Alive on Intake,FALSE,1,"33.8542837, -118.1964921"
